depth (m),Fo (F') (Fb in MS),Fm (Fm'),F'BLK (Fr in MS)
1,1.551,1.732,0.528
1,1.515,1.728,0.5366
1,1.518,1.726,0.5071
1,1.547,1.728,0.4832
1,1.511,1.729,0.4657
1,1.509,1.714,0.4638
2,1.221,1.893,0.385358333
2,1.096,1.597,NA
2,0.9907,1.393,NA
3,1.03,1.658,0.28
3,1.034,1.66,0.2807
3,1.044,1.662,0.2666
3,1.044,1.665,0.2666
3,1.025,1.685,0.2738
3,1.056,1.692,0.2722
4,1.196,1.93,0.3251
4,1.191,1.899,0.3192
4,1.232,1.976,0.3205
4,1.183,1.951,0.3116
4,1.168,1.957,0.3142
4,1.203,2.025,0.3157
5,1.05,1.597,0.3567
5,1.367,2.061,0.3624
5,1.403,2.068,0.3647
5,1.29,1.848,0.3574
5,1.25,1.854,0.3576
5,NA,NA,0.3617
6,1.027,1.597,0.333
6,1.022,1.585,0.3294
6,1.112,1.768,0.3218
6,1.155,1.814,0.3358
6,1.081,1.671,0.3342
6,1.088,1.574,NA
7,1.262,2.053,0.3789
7,1.299,2.144,0.3721
7,1.297,2.141,0.3874
7,1.316,2.094,0.3629
7,1.276,2.043,0.3896
7,1.21,1.993,0.3691
8,2.147,3.738,0.5065
8,2.27,3.864,0.504
8,2.063,3.465,0.515
8,2.055,3.5,0.5085
8,2.142,3.529,0.5131
8,2.002,3.431,0.5079
9,4.389,8.277,0.5786
9,4.296,8.002,0.5647
9,4.256,7.987,0.5735
9,4.391,8.132,0.5116
9,4.377,8.276,0.5342
9,4.444,8.348,0.5477
10,6.867,13.13,0.6708
10,6.712,12.54,0.6626
10,6.844,12.8,0.7104
10,6.995,13.09,0.5535
10,6.76,12.83,0.6635
10,NA,NA,0.6586
11,5.017,9.458,0.4436
11,4.937,9.342,0.4418
11,4.88,9.282,0.45
11,4.857,9.339,0.4679
11,4.874,9.498,0.4531
11,4.892,9.468,0.4664
13,6.714,12.99,0.5743
13,6.809,13.14,0.6149
13,6.999,13.35,0.5968
13,6.958,13.15,0.6201
13,6.856,13.24,0.6422
13,NA,NA,0.6012
13.5,10.97,19.81,0.5779
13.5,10.69,19.72,0.5257
13.5,10.53,19.75,0.5011
13.5,10.49,19.72,0.5616
13.5,10.58,19.83,0.4917
13.5,NA,NA,0.4996
14,67.39,119.3,1.089
14,66.71,119.3,1.065
14,66.22,118.8,1.066
14,65.62,119.3,1.118
14,65.33,119.3,1.1
14,64.98,119.2,1.127
14.5,24.43,39.37,0.732
14.5,22.87,36.88,0.709
14.5,21.39,34.32,0.7234
14.5,18.1,29.28,0.7037
14.5,16.08,26.02,0.6619
14.5,14.61,23.98,0.8347
15,20.91,31.21,0.6368
15,19.5,28.76,0.7295
15,18.43,27.14,0.699
15,20.75,31.98,0.7156
15,20.44,31.27,0.6365
16,10.1,10.1,0.6053
16,9.953,9.953,ND
16,7.45,7.45,ND
16,5.07,5.07,ND
16,7.739,7.739,ND
16,10.03,10.03,ND
17,4.661,4.661,ND
17,3.025,3.025,ND
17,4.753,4.753,ND
19,4.752,4.752,ND
19,2.968,2.968,ND
19,4.821,4.821,ND
