depth_m,avg_cells_ml,avg_cyano_cnt,avg_h2S,DOC,POC,PON,POS,Bacterial_production,Cell_specific_BP,sulphate_mg_L,PPng_CLh,Ammonium_ug_L,Phosphate_ug_L,NO2_N_ug_L,SiO2_mg_L,TCell_cnt_ml,TCell_cnt_SD,Cyn_Cells_mean,Cyn_Cells_sd,C_D0_Alpha_div_Cells,C_D1_Alpha_div_Cells,sd.D1_cells,C_D2_Alpha_div_Cells,sd.D2_cells,Evenness_cells,CV_cells,Sample_name.y,PCoA_Cells_SYBR_Axis1,PCoA_Cells_SYBR_Axis2,Sample_ID.x,Observed_16s_a,Chao1_16s_a,se.chao1_16s_a,ACE_16s_a,se.ACE_16s_a,Shannon_16s_a,Simpson_16s_a,InvSimpson_16s_a,Fisher_16s_a,Sample_ID.y,Axis.1_16s_b,Axis.2_16s_b,A.ProteoB|Desulfocapsa,A.ProteoB|Desulfatirhabdium,A.ProteoB|Desulfobulbaceae_ge,A.ProteoB|Desulfomonile,A.ProteoB|Desulfobulbus,A.ProteoB|Thiodictyon,A.Epsilonbacteraeota|Sulfurospirillum,A.ProteoB|Chromatium,A.Bacteroidetes|bacII-A,A.CyanoB|Chloroplast_ge,A.ActinoB|acI-B,A.ActinoB|acI-A,A.CyanoB|OxyphotoB_unclassified,A.Verrucomicrobia|uncultured_ge,A.ProteoB|unclassified,A.Bacteroidetes|Lentimicrobiaceae_ge,A.Verrucomicrobia|Pedosphaeraceae_ge,A.Bacteroidetes|unclassified,A.ProteoB|Pnec,A.Armatimonadetes|Armatimonas,A.ActinoB|acIV-A,A.ProteoB|betIV-A,A.ActinoB|Luna1-A,A.Firmicutes|Erysipelotrichaceae_unclassified,A.ActinoB|acI_unclassified,A.ActinoB|acTH1-A,A.ProteoB|alfV-A,A.ProteoB|uncultured,A.Bacteroidetes|Chlorobium,A.ProteoB|betI-A,A.Bacteroidetes|bacI-A,A.ProteoB|betI-B,Temp_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,Temperature_CTD2_29,Conductivity_CTD2_29,CTD2_PAR_29,CTD2_Phycocyanin_29,DO_mg_CTD1_29_cor,CTD_28_29_Oxygen,CTD_28_29_Turb,CTD_28_29_chl,CTD_28_29_Temp,CTD_28_29_Cond,VLP_p_ml,VLP_sd_ml
3,95666.66667,21666.66667,NA,1.3029,0.265,0.05505,0.00315,1.24E-07,0.12,35.06,9.791620193,19,1.5,0.2,0.95,95666.66667,4041.451884,21666.66667,577.3502692,17999.33333,6071.849935,59.67093332,3515.090321,52.12936214,0.262936735,203.0460354,NA,0.264277932,-0.090748692,LC.3m.E1,604,897.0789474,48.69944691,1019.786837,19.88638385,3.976508146,0.96378243,27.6109081,106.0823823,LC-3m-E1,-0.403710375,0.233411103,0,0,0,0,0,0,0,0,0.856991596,4.493415393,12.22950169,10.64125472,0.641916485,5.052610681,0.291178612,0,4.334590696,5.16180266,5.856660711,4.059956323,2.613989809,4.301502217,2.723181788,0,2.478327047,4.030176692,3.689365363,0,0,0.761035008,2.809211832,2.077956456,16.04533333,0.1668,0.136698667,9.285733333,0.998933333,15.81151351,0.135,0.766810811,0.096189189,10.00845946,16.04126429,0.136507143,182.1634381,2.773928571,9.401459459,9.343596396,0.131494595,0.882872072,15.92842342,0.135849333,72734310.24,4504964.288
5,86666.66667,41666.66667,NA,1.3134,0.231,0.0403,9.00E-04,1.52E-07,0.15,34.49,10.3579764,11.9,0.1,0.1,0.97,86666.66667,1527.525232,41666.66667,2081.665999,16874.33333,5252.53939,56.2836183,3061.643966,51.17521355,0.240985242,212.4535917,NA,0.200832178,0.031887404,LC.5m.E1,306,470.3571429,41.42105516,492.5686373,13.04336952,3.837616785,0.960223564,25.14051265,54.85052574,LC-5m-E1,-0.382370105,0.228353161,0,0,0,0,0,0,0,0,0.58786033,4.001699837,11.73595864,11.61555351,0.807422622,4.603725476,0.233727601,0,8.747078405,4.532898931,3.307599688,4.306253984,4.355832566,2.762235286,2.918053687,0,2.330193356,3.937955946,2.571003612,0,0,0.779092004,3.328847652,1.650258517,15.77,0.152982456,0.135485965,9.143859649,1.043684211,15.80285294,0.135,0.676676471,0.161764706,10.044,15.73665426,0.13546383,154.8670944,2.846808511,9.437,9.290429825,0.157373581,0.860180341,15.78642647,0.135242982,70269433.11,15018219.11
7,157333.3333,42333.33333,NA,1.3506,0.338,0.05475,NA,1.49E-07,0.15,35.05,17.61687303,6.9,0.3,0.2,1.03,157333.3333,577.3502692,42333.33333,1527.525232,16112.66667,4868.638074,60.20096859,2745.472563,55.20036595,0.236696226,220.7385193,NA,0.26362551,0.184776041,Cadagno7m.E2,258,439.6666667,48.60519151,452.5179917,12.50709045,3.169542753,0.907111657,10.76561347,40.67539225,Cadagno7m-E2,-0.392293696,-0.263240844,0,0,0,0,0,0,0,0,24.93859649,1.214912281,10.28508772,8.535087719,11.03070175,7.346491228,0.087719298,0,0.131578947,3.548245614,1.271929825,0.285087719,1.412280702,1.605263158,4.166666667,0,3.320175439,2.131578947,0.828947368,0.171052632,0,1.614035088,1.771929825,0.815789474,14.4528866,0.23,0.143675258,7.299587629,2.743195876,15.15130303,0.134575758,0.776272727,0.091151515,9.704090909,14.54941981,0.140600943,107.0134585,3.021037736,9.097090909,8.198339269,0.160575758,1.759734302,14.80209481,0.139125508,NA,NA
9,73000,43666.66667,0,3.0597,0.495,0.089884615,0.002076923,1.18E-06,1.18,68.63,22.2932455,10.7,0,0.2,1.8,73000,3000,43666.66667,1154.700538,19217,8767.138055,56.55574739,5885.115806,60.39909391,0.342881449,150.5270806,NA,0.015492113,-0.169624362,LC.9m.E1,409,584.2173913,37.49647151,637.8697081,14.91999856,3.813251291,0.958864541,24.30992716,70.48785226,LC-9m-E1,-0.405839304,0.032994111,0,0,0,0,0,0,0,0,12.02039292,2.575484551,9.357007867,5.779457654,2.48318903,8.117610865,0.237331341,0,6.40355118,6.346415857,1.678899486,5.190524326,2.623829825,3.986287523,1.779985057,0,1.397617897,2.35573331,2.127192019,1.793170131,0,3.450094493,3.014987035,1.397617897,11.1562766,0.488191489,0.192857447,4.667021277,11.04212766,13.06797143,0.170085714,5.825457143,0.261942857,6.453571429,11.36275978,0.191821739,58.84075242,4.44173913,5.846571429,5.256796353,0.375067173,8.433792401,12.11212401,0.181471581,NA,NA
11,104333.3333,25333.33333,0,1.574,0.444,0.089176471,0.002647059,6.85E-07,0.69,28.75,9.060886777,24.5,0.2,0.2,2,104333.3333,1527.525232,25333.33333,2081.665999,18454.33333,7386.086738,58.39723329,4571.795914,55.11204658,0.306121392,174.6032421,NA,0.110769171,-0.208611051,LC.11m.E1,322,480.1632653,38.27784573,502.9217332,12.62774855,3.575666522,0.953400452,21.45943557,52.145032,LC-11m-E1,-0.346901555,-0.250447064,0,0,0,0,0,0,0,0,10.30589949,11.82730436,8.41223598,10.27757546,7.396617302,10.61746379,0.315610585,0,0.186129319,6.097758356,0.999433519,0,1.8977098,2.116209436,2.431820021,0,4.054382132,0.914461439,0.586711985,0.485554746,0,2.197135227,3.006393137,0.853767096,8.06525641,0.492307692,0.207958974,2.536794872,10.14820513,9.745230769,0.199615385,11.71102564,0.551076923,4.953512821,8.335582474,0.206265979,35.81526651,4.948041237,4.346512821,3.441653846,0.521692308,10.92961538,8.90524359,0.203787179,171345477.3,26288244.9
13,95333.33333,29000,0,1.7636,1.063,0.221371429,0.018038095,1.52E-06,1.52,74.63,6.309567939,18.7,0.2,0.3,3.1,95333.33333,2309.401077,29000,1000,18853,8071.334016,59.49713718,5468.709314,63.6316858,0.321144885,156.4691988,NA,-0.100315298,0.037221512,LC.13m.E1,523,710.1123596,36.68160334,765.5772952,15.40150482,4.14604919,0.956322324,22.89499123,101.5777742,LC-13m-E1,0.1941088,0.018361327,0.539535999,0.209819555,0.167855644,0,0.299742222,0,0,0.551525688,2.248066663,24.16521791,3.794736527,6.234638211,0.371680355,1.756489419,9.064204784,3.872669504,0.893231821,2.751633595,0.461603021,0.317726755,0.233798933,3.830705593,0.701396799,2.535819195,2.242071818,0.425633955,0,3.602901505,0.449613333,0.305737066,0.767340088,2.733649062,6.304794521,1.352054795,0.216131507,0.926575342,26.92630137,6.813,0.213631579,7.694763158,0.531315789,1.909473684,6.353872917,0.216592708,17.46756906,5.630104167,1.302473684,1.114524513,0.941685292,17.31053226,6.55889726,0.214881543,152087893.9,9928587.151
15,905000,212333.3333,0.0017,1.5649,7.281,1.218181818,0.468454545,1.65E-06,1.65,97.95,NA,0.5,0.3,0.3,3.31,905000,28583.21186,212333.3333,11590.22577,20474,9413.656126,61.20683721,6477.032287,71.4943615,0.345969085,147.0564939,NA,-0.268947765,0.032617489,Cadagno15m.E2,611,944.8659794,56.80245542,1022.28404,19.32915714,3.627260489,0.871381763,7.77494718,118.9301589,Cadagno15m-E2,0.430677744,-0.000727357,0.564739706,0.780367594,0.446657768,0.07700996,0.205359893,0.071875963,0.030803984,35.27056166,2.756956566,7.182462265,0.877913543,1.786631071,0.056473971,0.374781805,1.617209159,7.94229387,0.359379813,1.339973303,0.107813944,0.236163877,0.061607968,1.370777287,0.056473971,3.917239963,0.559605709,0.061607968,0,0.764965602,2.525926687,0.128349933,0.349111818,1.997124961,5.227037037,8.616296296,0.219131481,0.409074074,20.06685185,5.26073913,0.218304348,26.10182609,9.172086957,0.93073913,5.335619608,0.218919608,0.464134686,17.46921569,0.32373913,0.366406602,8.894191626,23.08433897,5.243888084,0.218717915,142709765.8,7407629.953
15.5,585000,190000,0.0116,1.6608,2.333,0.4193,0.614466667,2.15E-06,2.15,97.22,NA,71.4,0.5,0.6,3.4,585000,18330.30278,190000,2000,20948,9174.074591,69.08604535,5925.225569,76.95619189,0.33245273,159.2408241,NA,-0.246056017,0.043413064,LC.15point5m.E1,512,745.4574468,43.01392876,847.9742016,17.88660543,4.327709713,0.951642344,20.67924894,124.7788192,LC-15point5m-E1,0.404725849,-0.020532773,0.68856692,1.190646966,0.645531488,0.301248028,0.401664037,0.157796586,0.043035433,19.36594463,2.23784249,6.29751829,1.778797877,3.37110888,0.071725721,0.430354325,2.725577392,8.865299096,0.243867451,1.291062975,0.17214173,0.071725721,0.043035433,2.166116769,0.143451442,4.088366088,0.961124659,0.143451442,0,1.37713384,3.500215177,0.372973748,0.416009181,3.256347726,5.164130435,7.165869565,0.219343478,0.383043478,18.9026087,5.342952381,0.218047619,28.49580952,11.76842857,0.866238095,5.262385714,0.219794643,-0.524148071,14.9325,0.259238095,0.321140787,9.467149068,23.69920911,5.253541408,0.218695549,148248347.3,10494569.47
17,434666.6667,166666.6667,0.0738,2.058,1.738,0.314801136,0.709261364,1.14E-06,1.14,96.41,NA,166.3,0.3,0.4,3.51,434666.6667,11718.93055,166666.6667,2081.665999,21182,9481.036741,67.65585239,6242.038145,77.06875667,0.338914287,154.7714473,NA,-0.250459735,-0.038925133,LC.17m.E1,811,1118.006452,46.20851298,1211.031275,19.53632745,4.408209984,0.957217759,23.37418443,174.203204,LC-17m-E1,0.441992493,0.010512466,1.159351709,0.881343902,0.621081273,0.508695138,0.366733704,0.183366852,0.065065657,15.42647581,2.720927481,13.2970543,1.508340234,3.058085887,0.100556016,0.195196971,2.75050278,7.683662605,0.348988525,0.91683426,0.153791553,0.112386135,0.065065657,2.028865492,0.076895777,3.992665326,0.887258961,0.106471075,0.029575299,1.466934816,2.856973855,0.283922868,0.23068733,2.224062463,5.055921053,5.485789474,0.220126316,0.148026316,14.08460526,5.096733333,0.218866667,15.3062,4.687633333,0.8284,5.134969072,0.220537113,-0.656554897,11.55783505,0.2214,0.184713158,5.086711404,14.69540263,5.076327193,0.219496491,140365461.6,32705549.15
19,397000,148000,0.0888,NA,1.500084746,0.274265537,0.652146893,1.16E-06,1.16,18.84,NA,262.4,5.4,0.4,3.55,397000,7810.249676,148000,9848.857802,21100.33333,9201.821835,70.84576877,5894.859505,77.17377536,0.331953776,160.7387347,NA,-0.284239074,0.066178927,LC.19m.E1,830,1147.019231,47.30108933,1256.460073,19.99780561,4.523990278,0.962092483,26.379992,178.3964466,LC-19m-E1,0.459610147,0.011315868,1.53828157,1.327718313,1.052816284,0.508861204,0.63168977,0.251506112,0.064338773,15.37696672,2.860150904,9.773644499,1.134701995,1.982804001,0.111130608,0.157922443,3.34561619,7.761595602,0.356787741,0.625840791,0.122828566,0.128677546,0.046791835,1.854126455,0.029244897,3.930514125,0.339240802,0.064338773,0,1.199040767,2.573550915,0.198865298,0.245657133,2.181669299,4.983076923,4.708461538,0.220976923,0.09,12.75461538,4.960864865,0.22,12.14524324,3.715783784,0.822108108,4.989060274,0.221682192,-0.622246658,8.88109589,0.215108108,0.152554054,4.212122661,12.44992931,4.971970894,0.220488462,143954609.7,16212239.49
