Depth,TCell_cnt_ml,TCell_cnt_SD,Cyn_Cells_mean,Cyn_Cells_sd,C_D0_Alpha_div_Cells,C_D1_Alpha_div_Cells,sd.D1_cells,C_D2_Alpha_div_Cells,sd.D2_cells,Evenness_cells,CV_cells,Sample_name.y,PCoA_Cells_SYBR_Axis1,PCoA_Cells_SYBR_Axis2,VLP_p_ml,VLP_sd_ml,VMR
1,104666.6667,1527.525232,23666.66667,577.3502692,17483.66667,5844.794809,56.08956158,3534.385396,56.02717314,0.256074824,198.816872,NA,0.208530138,-0.029742688,NA,NA,NA
2,106000,3605.551275,25333.33333,577.3502692,17529.66667,5571.784533,61.13617443,3103.065463,51.81855142,0.25135755,215.6296808,NA,0.190932696,0.156375571,NA,NA,NA
3,95666.66667,4041.451884,21666.66667,577.3502692,17999.33333,6071.849935,59.67093332,3515.090321,52.12936214,0.262936735,203.0460354,NA,0.264277932,-0.090748692,72734310.24,4504964.288,760.2889572
4,164000,6244.997998,32333.33333,577.3502692,17679,5805.622191,62.98039778,3279.032213,54.83888656,0.257515661,209.9157703,NA,0.211369867,0.067137374,NA,NA,NA
5,86666.66667,1527.525232,41666.66667,2081.665999,16874.33333,5252.53939,56.2836183,3061.643966,51.17521355,0.240985242,212.4535917,NA,0.200832178,0.031887404,70269433.11,15018219.11,810.8011512
6,150000,1000,52333.33333,1154.700538,16379.66667,5068.505455,75.7755967,2512.669112,62.6289544,0.255690646,235.0822125,NA,0.178776853,0.36605302,NA,NA,NA
7,157333.3333,577.3502692,42333.33333,1527.525232,16112.66667,4868.638074,60.20096859,2745.472563,55.20036595,0.236696226,220.7385193,NA,0.26362551,0.184776041,NA,NA,NA
8,74666.66667,577.3502692,30666.66667,577.3502692,18924.66667,8177.236508,48.92096354,5780.122417,48.69277081,0.320271036,150.7915293,NA,0.01410599,-0.23427864,NA,NA,NA
9,73000,3000,43666.66667,1154.700538,19217,8767.138055,56.55574739,5885.115806,60.39909391,0.342881449,150.5270806,NA,0.015492113,-0.169624362,NA,NA,NA
10,87666.66667,1527.525232,43333.33333,1154.700538,18942.33333,7993.646575,52.88273246,5368.795684,51.34944803,0.315901134,159.0325418,NA,0.021334598,-0.213005432,NA,NA,NA
11,104333.3333,1527.525232,25333.33333,2081.665999,18454.33333,7386.086738,58.39723329,4571.795914,55.11204658,0.306121392,174.6032421,NA,0.110769171,-0.208611051,171345477.3,26288244.9,1642.28892
12,110666.6667,7637.626158,40333.33333,577.3502692,19130,7562.709937,64.39939737,4566.16411,63.66456379,0.304381387,178.7044494,NA,0.087202625,-0.04839517,NA,NA,NA
13,95333.33333,2309.401077,29000,1000,18853,8071.334016,59.49713718,5468.709314,63.6316858,0.321144885,156.4691988,NA,-0.100315298,0.037221512,152087893.9,9928587.151,1595.327558
13.5,152666.6667,4932.882862,24500,707.1067812,18647.66667,5944.177105,54.02483971,3484.074137,47.82446333,0.248670773,208.6507536,NA,0.144350018,-0.05003763,NA,NA,NA
14,742000,17691.80601,309333.3333,12013.88086,19460.33333,7789.004227,56.84768743,5348.556053,64.65894274,0.298217183,162.460796,NA,-0.247440485,0.090564932,NA,NA,NA
15,905000,28583.21186,212333.3333,11590.22577,20474,9413.656126,61.20683721,6477.032287,71.4943615,0.345969085,147.0564939,NA,-0.268947765,0.032617489,142709765.8,7407629.953,157.690349
15.5,585000,18330.30278,190000,2000,20948,9174.074591,69.08604535,5925.225569,76.95619189,0.33245273,159.2408241,NA,-0.246056017,0.043413064,148248347.3,10494569.47,253.4159782
16,461000,10440.30651,171666.6667,8504.900548,20762,9176.380433,68.7726492,5992.169983,76.60414953,0.334745685,157.006208,NA,-0.237402453,-0.028523296,NA,NA,NA
17,434666.6667,11718.93055,166666.6667,2081.665999,21182,9481.036741,67.65585239,6242.038145,77.06875667,0.338914287,154.7714473,NA,-0.250459735,-0.038925133,140365461.6,32705549.15,322.9266755
18,450666.6667,10598.74206,169333.3333,1154.700538,20993.66667,9385.598306,67.08089947,6181.86452,77.28444289,0.33853403,154.8474407,NA,-0.276738863,0.03566676,NA,NA,NA
19,397000,7810.249676,148000,9848.857802,21100.33333,9201.821835,70.84576877,5894.859505,77.17377536,0.331953776,160.7387347,NA,-0.284239074,0.066178927,143954609.7,16212239.49,362.6060697
