Sample_ID,Depth_m,Observed_16s_a,Chao1_16s_a,se.chao1_16s_a,ACE_16s_a,se.ACE_16s_a,Shannon_16s_a,Simpson_16s_a,InvSimpson_16s_a,Fisher_16s_a,Axis.1_16s_b,Axis.2_16s_b,avg_cyano_cnt,avg_h2S,DOC,POC,PON,POS,Bacterial_production,Cell_specific_BP,sulphate_mg_L,PPng_CLh,Ammonium_ug_L,Phosphate_ug_L,NO2_N_ug_L,SiO2_mg_L,TCell_cnt_ml,TCell_cnt_SD,Cyn_Cells_mean,Cyn_Cells_sd,C_D0_Alpha_div_Cells,C_D1_Alpha_div_Cells,sd.D1_cells,C_D2_Alpha_div_Cells,sd.D2_cells,Evenness_cells,CV_cells,PCoA_Cells_SYBR_Axis1,PCoA_Cells_SYBR_Axis2,Temp_CTD1_28,Turb_FTU_CTD1_28,Cond_ms_p_cm_CTD1_28,DO_mg_l_CTD1_28,Chl_A_ug_p_l_CTD1_28,Temp_CTD1_29,Cond_CTD1_29,Chl_A_CTD1_29,Turb_CTD1_29,DO_mg_CTD1_29,Temperature_CTD2_29,Conductivity_CTD2_29,CTD2_PAR_29,CTD2_Phycocyanin_29,DO_mg_CTD1_29_cor,CTD_28_29_Oxygen,CTD_28_29_Turb,CTD_28_29_chl,CTD_28_29_Temp,CTD_28_29_Cond,VLP_p_ml,VLP_sd_ml,OTU_RA.Proteobacteria|Chromatium,OTU_RA.Bacteroidetes|bacII-A,OTU_RA.Actinobacteria|acI-B,OTU_RA.Cyanobacteria|Chloroplast_ge,OTU_RA.Cyanobacteria|Oxyphotobacteria_unclassified,OTU_RA.Verrucomicrobia|uncultured_ge,OTU_RA.Actinobacteria|acI-A,OTU_RA.Proteobacteria|unclassified,OTU_RA.Bacteroidetes|Lentimicrobiaceae_ge,OTU_RA.Verrucomicrobia|Pedosphaeraceae_ge,OTU_RA.Proteobacteria|Pnec,OTU_RA.Proteobacteria|betIV-A,OTU_RA.Armatimonadetes|Armatimonas,OTU_RA.Actinobacteria|acTH1-A,OTU_RA.Proteobacteria|alfV-A,OTU_RA.Actinobacteria|acI_unclassified,OTU_RA.Bacteroidetes|unclassified,OTU_RA.Bacteroidetes|bacI-A,OTU_RA.Actinobacteria|acIV-A,OTU_RA.Proteobacteria|betI-A,OTU_RA.Firmicutes|Erysipelotrichaceae_unclassified,OTU_RA.Actinobacteria|Luna1-A,OTU_RA.Proteobacteria|betI-B,OTU_RA.Proteobacteria|uncultured,OTU_RA.Chloroflexi|SL56_marine_group_ge,OTU_RA.Bacteroidetes|bacIII-A,OTU_RA.Proteobacteria|Desulfocapsa,OTU_RA.Proteobacteria|Lamprocystis,OTU_RA.Proteobacteria|Thiodictyon,OTU_RA.Bacteroidetes|Chlorobium
LC-3m-E1,3,588,871.266055,48.0295045,983.2529349,19.34277976,3.971425956,0.963729352,27.57050264,102.7034688,-0.403710375,0.233411103,21666.66667,NA,1.3029,0.265,0.05505,0.00315,1.24E-07,0.12,35.06,9.791620193,19,1.5,0.2,0.95,95666.66667,4041.451884,21666.66667,577.3502692,17999.33333,6071.849935,59.67093332,3515.090321,52.12936214,0.262936735,203.0460354,0.264277932,-0.090748692,16.04533333,0.1668,0.136698667,9.285733333,0.998933333,15.81151351,0.135,0.766810811,0.096189189,10.00845946,16.04126429,0.136507143,182.1634381,2.773928571,9.401459459,9.343596396,0.131494595,0.882872072,15.92842342,0.135849333,72734310.24,4504964.288,0.000165317,0.003041825,0.122202017,0.02023475,0.006414283,0.046520086,0.064539593,0.002909572,0,0.043312944,0.044503224,0.042486361,0.040568689,0.040271119,0.036865598,0.024764424,0.022053232,0.028070755,0.02612002,0.00638122,0,0.019176723,0.020763763,9.92E-05,0.001421723,0.008728715,0,9.92E-05,0,0
LC-5m-E1,5,306,470.3571429,41.42105516,492.5686373,13.04336952,3.837616785,0.960223564,25.14051265,54.85052574,-0.382370105,0.228353161,41666.66667,NA,1.3134,0.231,0.0403,9.00E-04,1.52E-07,0.15,34.49,10.3579764,11.9,0.1,0.1,0.97,86666.66667,1527.525232,41666.66667,2081.665999,16874.33333,5252.53939,56.2836183,3061.643966,51.17521355,0.240985242,212.4535917,0.200832178,0.031887404,15.77,0.152982456,0.135485965,9.143859649,1.043684211,15.80285294,0.135,0.676676471,0.161764706,10.044,15.73665426,0.13546383,154.8670944,2.846808511,9.437,9.290429825,0.157373581,0.860180341,15.78642647,0.135242982,70269433.11,15018219.11,0,0.001416531,0.117359586,0.017281677,0.008074226,0.040229478,0.065160422,0.002337276,0,0.087470784,0.028401445,0.0274807,0.04306254,0.039379559,0.025710036,0.023301934,0.022947801,0.033288477,0.043558326,0.007082655,0,0.020468872,0.016502585,0.000283306,0.000424959,0.016290106,0,0,0,0
Cadagno7m-E2,7,249,418.4516129,46.81628313,424.7650023,11.96477532,3.165907112,0.907023084,10.75535777,39.00145958,-0.392293696,-0.263240844,42333.33333,NA,1.3506,0.338,0.05475,NA,1.49E-07,0.15,35.05,17.61687303,6.9,0.3,0.2,1.03,157333.3333,577.3502692,42333.33333,1527.525232,16112.66667,4868.638074,60.20096859,2745.472563,55.20036595,0.236696226,220.7385193,0.26362551,0.184776041,14.4528866,0.23,0.143675258,7.299587629,2.743195876,15.15130303,0.134575758,0.776272727,0.091151515,9.704090909,14.54941981,0.140600943,107.0134585,3.021037736,9.097090909,8.198339269,0.160575758,1.759734302,14.80209481,0.139125508,NA,NA,0,0.246766911,0.10280128,0.005655166,0.110209986,0.041032835,0.037920302,0.00087677,0,0.001315155,0.006926483,0.013940643,0.002849502,0.02130551,0.008285476,0.033185744,0.024900267,0.017710754,0.014115997,0.015957214,0,0.033098067,0.008153961,0.001709701,0.026259261,0.021349349,0,0,0,0
LC-9m-E1,9,388,542.21875,34.63438274,585.0273995,13.98953403,3.804547897,0.958758373,24.24734613,66.16354843,-0.405839304,0.032994111,43666.66667,0,3.0597,0.495,0.089884615,0.002076923,1.18E-06,1.18,68.63,22.2932455,10.7,0,0.2,1.8,73000,3000,43666.66667,1154.700538,19217,8767.138055,56.55574739,5885.115806,60.39909391,0.342881449,150.5270806,0.015492113,-0.169624362,11.1562766,0.488191489,0.192857447,4.667021277,11.04212766,13.06797143,0.170085714,5.825457143,0.261942857,6.453571429,11.36275978,0.191821739,58.84075242,4.44173913,5.846571429,5.256796353,0.375067173,8.433792401,12.11212401,0.181471581,NA,NA,0,0.113944608,0.093446868,0.015230654,0.024799192,0.053812053,0.025808717,0.002370188,4.39E-05,0.063775622,0.012948251,0.038361937,0.051836896,0.023526313,0.02124391,0.013957776,0.02567704,0.03011017,0.026203748,0.033533775,0,0.013431067,0.013957776,0.017908089,0.002896897,0.015098977,0,0,0,0
LC-11m-E1,11,310,455,36.37862378,470.5305268,12.0207301,3.571301365,0.953344538,21.4337177,49.84285144,-0.346901555,-0.250447064,25333.33333,0,1.574,0.444,0.089176471,0.002647059,6.85E-07,0.69,28.75,9.060886777,24.5,0.2,0.2,2,104333.3333,1527.525232,25333.33333,2081.665999,18454.33333,7386.086738,58.39723329,4571.795914,55.11204658,0.306121392,174.6032421,0.110769171,-0.208611051,8.06525641,0.492307692,0.207958974,2.536794872,10.14820513,9.745230769,0.199615385,11.71102564,0.551076923,4.953512821,8.335582474,0.206265979,35.81526651,4.948041237,4.346512821,3.441653846,0.521692308,10.92961538,8.90524359,0.203787179,171345477.3,26288244.9,0.000283068,0.088479114,0.084071333,0.060778843,0.073880869,0.100246674,0.047312872,0.003154191,0.000404384,0.001860164,0.005378301,0.01471956,0.00072789,0.009139067,0.005863561,0.040519228,0.036434955,0.030045695,0.018965587,0.021715395,8.09E-05,0.019693477,0.008532492,0.004852602,0.005620931,0.021796272,0.000323507,0,0,0.000768329
LC-13m-E1,13,504,673,34.42354439,717.9533007,14.66800122,4.137304536,0.956201642,22.83190593,97.06084892,0.1941088,0.018361327,29000,0,1.7636,1.063,0.221371429,0.018038095,1.52E-06,1.52,74.63,6.309567939,18.7,0.2,0.3,3.1,95333.33333,2309.401077,29000,1000,18853,8071.334016,59.49713718,5468.709314,63.6316858,0.321144885,156.4691988,-0.100315298,0.037221512,6.304794521,1.352054795,0.216131507,0.926575342,26.92630137,6.813,0.213631579,7.694763158,0.531315789,1.909473684,6.353872917,0.216592708,17.46756906,5.630104167,1.302473684,1.114524513,0.941685292,17.31053226,6.55889726,0.214881543,152087893.9,9928587.151,0.005507333,0.013768333,0.037892846,0.157258306,0.002274768,0.017419934,0.030170608,0.090511823,0.037533673,0.008859623,0.003052978,0.036935049,0.003172703,0.004250224,0.000359174,0.022388506,0.013409159,0.007662377,0.00233463,0.002993116,0.02532176,0.005746782,0.027297216,0.035977252,0.002693804,0.001616283,0.005387609,0.002214906,0.000478899,0.004429811
Cadagno15m-E2,15,575,862.5333333,51.50496831,922.9580155,17.96233987,3.6102917,0.87074077,7.736391452,110.3825115,0.430677744,-0.000727357,212333.3333,0.0017,1.5649,7.281,1.218181818,0.468454545,1.65E-06,1.65,97.95,NA,0.5,0.3,0.3,3.31,905000,28583.21186,212333.3333,11590.22577,20474,9413.656126,61.20683721,6477.032287,71.4943615,0.345969085,147.0564939,-0.268947765,0.032617489,5.227037037,8.616296296,0.219131481,0.409074074,20.06685185,5.26073913,0.218304348,26.10182609,9.172086957,0.93073913,5.335619608,0.218919608,0.464134686,17.46921569,0.32373913,0.366406602,8.894191626,23.08433897,5.243888084,0.218717915,142709765.8,7407629.953,0.35180254,0.021353953,0.008756657,0.041274068,0.000512085,0.003738222,0.010548955,0.016130684,0.074764441,0.002970094,0.000972962,0.013263007,0.002355592,0.000614502,0,0.005581729,0.009268742,0.003482179,0.000614502,0.001229005,0.039072102,0.000409668,0.019920115,0.00763007,0.00138263,0.000102417,0.005632937,0.004096682,0.000716919,0.022992626
LC-15point5m-E1,15.5,496,724.1011236,42.91332461,816.6257287,17.40844927,4.306982474,0.951199324,20.49151933,119.8542207,0.404725849,-0.020532773,190000,0.0116,1.6608,2.333,0.4193,0.614466667,2.15E-06,2.15,97.22,NA,71.4,0.5,0.6,3.4,585000,18330.30278,190000,2000,20948,9174.074591,69.08604535,5925.225569,76.95619189,0.33245273,159.2408241,-0.246056017,0.043413064,5.164130435,7.165869565,0.219343478,0.383043478,18.9026087,5.342952381,0.218047619,28.49580952,11.76842857,0.866238095,5.262385714,0.219794643,-0.524148071,14.9325,0.259238095,0.321140787,9.467149068,23.69920911,5.253541408,0.218695549,148248347.3,10494569.47,0.192719486,0.01627409,0.017701642,0.045967166,0.000571021,0.004282655,0.020842256,0.027123483,0.080228408,0.002141328,0.001427552,0.02041399,0.000713776,0.001427552,0,0.009564597,0.008850821,0.0041399,0.000428266,0.002997859,0.040685225,0.001427552,0.032405425,0.013704497,0.001570307,0,0.006852248,0.004996431,0.001570307,0.03283369
LC-17m-E1,17,760,1045.021429,44.87135098,1121.912355,18.53246174,4.374437702,0.956644174,23.064951,160.7220501,0.441992493,0.010512466,166666.6667,0.0738,2.058,1.738,0.314801136,0.709261364,1.14E-06,1.14,96.41,NA,166.3,0.3,0.4,3.51,434666.6667,11718.93055,166666.6667,2081.665999,21182,9481.036741,67.65585239,6242.038145,77.06875667,0.338914287,154.7714473,-0.250459735,-0.038925133,5.055921053,5.485789474,0.220126316,0.148026316,14.08460526,5.096733333,0.218866667,15.3062,4.687633333,0.8284,5.134969072,0.220537113,-0.656554897,11.55783505,0.2214,0.184713158,5.086711404,14.69540263,5.076327193,0.219496491,140365461.6,32705549.15,0.153168497,0.022963529,0.014976214,0.112644623,0.000528572,0.001938098,0.020438128,0.027309567,0.067304869,0.002055559,0.001057145,0.019674634,0.001115875,0.001057145,0.000293651,0.008809538,0.005873025,0.00229048,0.000646033,0.002760322,0.03964292,0.000704763,0.022082575,0.014565102,0.002701592,0.000880954,0.011511129,0.00704763,0.001820638,0.026134962
LC-19m-E1,19,769,1040.147887,42.9759184,1129.976489,18.60833487,4.489374128,0.961590074,26.03493677,162.2319652,0.459610147,0.011315868,148000,0.0888,NA,1.500084746,0.274265537,0.652146893,1.16E-06,1.16,18.84,NA,262.4,5.4,0.4,3.55,397000,7810.249676,148000,9848.857802,21100.33333,9201.821835,70.84576877,5894.859505,77.17377536,0.331953776,160.7387347,-0.284239074,0.066178927,4.983076923,4.708461538,0.220976923,0.09,12.75461538,4.960864865,0.22,12.14524324,3.715783784,0.822108108,4.989060274,0.221682192,-0.622246658,8.88109589,0.215108108,0.152554054,4.212122661,12.44992931,4.971970894,0.220488462,143954609.7,16212239.49,0.152680179,0.022997851,0.011266624,0.088855334,0.000522678,0.001451885,0.011731227,0.033219118,0.068238574,0.001916488,0.001103432,0.017945293,0.001277658,0.000638829,5.81E-05,0.003368372,0.00301992,0.002439166,0.000464603,0.001800337,0.039026657,0.000174226,0.021662117,0.011905453,0.002787618,0.000464603,0.015273825,0.014867298,0.002497241,0
