Depth,Pressure_CTD2_29,Temperature_CTD2_29,Conductivity_CTD2_29,Oxygen_mg_L_CTD2_29,PAR_CTD2_29,Phycocyanin_CTD2_29
1,-1.578160293,16.06832669,0.137006591,10.85554109,557.450983,2.846086249
2,-0.40406383,16.06125745,0.136421277,11.45297872,233.2265387,2.83393617
3,0.608130952,16.04126429,0.136507143,11.75404762,182.1634381,2.773928571
5,2.64056383,15.73665426,0.13546383,11.89489362,154.8670944,2.846808511
6,3.588364706,15.36754941,0.134454118,11.75317647,136.8253433,2.812705882
7,4.592471698,14.54941981,0.140600943,11.29283019,107.0134585,3.021037736
8,5.608261905,13.30018333,0.161284524,9.453333333,79.8727063,3.471547619
9,6.610619565,11.36275978,0.191821739,7.422934783,58.84075242,4.44173913
10,7.605215054,9.592270968,0.200778495,6.861290323,46.69701889,5.003548387
11,8.595092784,8.335582474,0.206265979,6.053917526,35.81526651,4.948041237
12,9.614489583,7.113583333,0.21300625,4.384166667,25.30943299,4.180520833
13,10.59871875,6.353872917,0.216592708,3.028541667,17.46756906,5.630104167
13.5,11.35415909,5.909038636,0.218504545,2.384318182,12.21007095,10.96636364
14,11.86410638,5.606846809,0.219123404,1.985531915,8.865661043,22.07595745
14.5,12.37361702,5.417912766,0.219148936,1.658085106,4.788419468,21.92957447
15,12.87068627,5.335619608,0.218919608,1.435490196,0.464134686,17.46921569
15.5,13.36114286,5.262385714,0.219794643,1.290535714,-0.524148071,14.9325
16,13.857,5.16868913,0.220330435,1.19,-0.65035413,12.875
17,14.57710309,5.134969072,0.220537113,1.102886598,-0.656554897,11.55783505
18,15.59520988,5.033088889,0.221185185,1.01691358,-0.640708457,9.621851852
19,16.61673973,4.989060274,0.221682192,0.956164384,-0.622246658,8.88109589
